iter	RMSE
228	0.5451962248
229	0.5416005724
230	0.53857426
231	0.5358441776
232	0.5339657768
233	0.5313936687
234	0.5284995709
235	0.5275699323
236	0.5226564155
237	0.5217728174
238	0.5179321319
239	0.5138061796
240	0.5126110466
241	0.5115951931
242	0.5105450977
243	0.5064281421
244	0.5054070126
245	0.5046045914
246	0.5036910495
247	0.4997978853
248	0.4942927001
249	0.4902724476
250	0.4863220218
251	0.4819922538
252	0.4781521032
253	0.4743788653
254	0.4732222778
255	0.4721533282
256	0.4687340219
257	0.4637230118
258	0.4630648634
259	0.46251361
260	0.4589919506
261	0.45811448
262	0.4549164831
263	0.4541108406
264	0.4533257989
265	0.4525798047
266	0.449574509
267	0.4467886853
268	0.4441226898
269	0.4410956325
270	0.4377418775
271	0.4347087697
272	0.4341209433
273	0.4316635617
274	0.4292270396
275	0.427268377
276	0.424769903
277	0.422207769
278	0.4190509842
279	0.4159479032
280	0.4136894261
281	0.4111976021
282	0.409021301
283	0.4062778391
284	0.4048029187
285	0.4024222303
286	0.4000637552
287	0.3977868416
288	0.3954954621
289	0.3932661212
290	0.3908271282
291	0.3881328
292	0.3861748768
293	0.3835397535
294	0.3814096742
295	0.3804831821
296	0.3795895848
297	0.376693632
298	0.3749452254
299	0.3740956394
300	0.3702676789
301	0.3697737122
302	0.3692886225
303	0.3684723588
304	0.3647692234
305	0.3621782074
306	0.3596601652
307	0.3584611442
308	0.3572740323
309	0.3540141473
310	0.3516132836
311	0.3500520763
312	0.3468787843
313	0.3458314355
314	0.344706836
315	0.3408619226
316	0.3400225254
317	0.3362893127
318	0.3354660963
319	0.3322243633
320	0.3292487631
321	0.3257493096
322	0.3249491838
323	0.3225186693
324	0.3220228731
325	0.3212418181
326	0.3182692911
327	0.3177848971
328	0.3149712392
329	0.3142095992
330	0.3113380847
331	0.3084729422
332	0.3080107865
333	0.3053150554
334	0.3045753516
335	0.3018383054
336	0.2991604386
337	0.296540706
338	0.2961015421
339	0.2942424141
340	0.2931964951
341	0.2921762934
342	0.2896348774
343	0.2892084208
344	0.2874020535
345	0.286984298
346	0.2859958773
347	0.2855842022
348	0.2851782763
349	0.2827190266
350	0.2809660095
351	0.2800082946
352	0.2796139772
353	0.2786800191
354	0.2762940874
355	0.2745902357
356	0.2742141811
357	0.2732761766
358	0.272372505
359	0.2714909519
360	0.2691873709
361	0.2688154067
362	0.2670969323
363	0.2667418384
364	0.2650498927
365	0.2646596151
366	0.2629939417
367	0.2626113536
368	0.2608635887
369	0.260245737
370	0.2594211293
371	0.2590504988
372	0.2574270768
373	0.257063699
374	0.2554654422
375	0.2548727989
376	0.2531942417
377	0.2528429346
378	0.2524971366
379	0.2518993856
380	0.2503415101
381	0.2497579856
382	0.248131594
383	0.2477972251
384	0.2474680769
385	0.2469175558
386	0.2452302834
387	0.243579581
388	0.2432579971
389	0.2416433021
390	0.2413269081
391	0.2397821902
392	0.239473083
393	0.2389210543
394	0.2383823846
395	0.2368182656
396	0.2365160358
397	0.2351211066
398	0.2336980056
399	0.2332371474
400	0.2327860628
401	0.2313097475
402	0.2310169255
403	0.2293779438
404	0.2276732685
405	0.2260048011
406	0.2246383897
407	0.2235436701
408	0.2232610061
409	0.2217065586
410	0.220106706
411	0.2185279069
412	0.2169857983
413	0.215501386
414	0.2141250056
415	0.2126507805
416	0.2112619704
417	0.2098361025
418	0.2090328459
419	0.2078107768
420	0.2065892936
421	0.2053306826
422	0.2047869133
423	0.2045931207
424	0.2033563668
425	0.2027297357
426	0.2015480741
427	0.2013589599
428	0.2001490934
429	0.1995362056
430	0.1990237394
431	0.19787941
432	0.1966938054
433	0.1965115007
434	0.1962507076
435	0.1957558576
436	0.1945329672
437	0.194279705
438	0.1940310312
439	0.1930030919
440	0.1927595709
441	0.1925204265
442	0.1916351602
443	0.1914015157
444	0.190515423
445	0.18943569
446	0.188967455
447	0.1887447273
448	0.1875342968
449	0.1866854632
450	0.1855421575
451	0.1841487135
452	0.1833170708
453	0.1823634265
454	0.1812023953
455	0.1803929679
456	0.1801752563
457	0.1792590776
458	0.178248086
459	0.1774612689
460	0.1764829917
461	0.1753783709
462	0.1746116951
463	0.1732913534
464	0.1723039514
465	0.1710266457
466	0.1708257523
467	0.1697100064
468	0.1687895079
469	0.1685945296
470	0.1673588193
471	0.1671678375
472	0.1660915557
473	0.1650155782
474	0.1641249182
475	0.1632259403
476	0.1630237069
477	0.1621302755
478	0.1613350718
479	0.1604857736
480	0.1602893634
481	0.1589975705
482	0.1588051292
483	0.1575408274
484	0.1573522429
485	0.1566130995
486	0.1554998536
487	0.1543770389
488	0.1533027987
489	0.1522532901
490	0.1513025101
491	0.1501367676
492	0.149213404
493	0.1480799522
494	0.1472330445
495	0.1463476034
496	0.1452538709
497	0.1447480684
498	0.1442551789
499	0.1433959408
500	0.142433052
501	0.1422732199
502	0.14144279
503	0.1405083687
504	0.1398443604
505	0.1396893734
506	0.1390416954
507	0.1388906772
508	0.1381724808
509	0.1380230199
510	0.1378757158
511	0.1371717368
512	0.1365507119
513	0.1364065831
514	0.1362645365
515	0.1361245424
516	0.135075069
517	0.1342085305
518	0.1335734063
519	0.1327098717
520	0.1325710427
521	0.1324342164
522	0.1322932871
523	0.1321585747
524	0.1311865215
525	0.1303826399
526	0.1302489992
527	0.1296382648
528	0.1290292156
529	0.1282058595
530	0.1280728872
531	0.1279418328
532	0.1278126693
533	0.1270417779
534	0.1264544648
535	0.1258870146
536	0.1250897847
537	0.1249611857
538	0.1248344413
539	0.1247095251
540	0.1245864114
541	0.1244543241
542	0.1238975171
543	0.1231025606
544	0.1223183869
545	0.1215340291
546	0.1207655376
547	0.1200126183
548	0.1192507233
549	0.1185181968
550	0.1178005674
551	0.1170634208
552	0.116448066
553	0.1157529373
554	0.1150719827
555	0.1144755384
556	0.1136616383
557	0.1130274831
558	0.1123725741
559	0.1117961274
560	0.1112240277
561	0.1106620853
562	0.1101101394
563	0.1090843076
564	0.1083324205
565	0.1073348328
566	0.106775197
567	0.1062525192
568	0.1057048791
569	0.1051913526
570	0.1046508509
571	0.1041478352
572	0.1036148157
573	0.1031218395
574	0.1024250458
575	0.1018895012
576	0.1013635254
577	0.1008474447
578	0.1002605079
579	0.09977894487
580	0.09920464975
581	0.09873337311
582	0.09815526994
583	0.09765538201
584	0.09699041657
585	0.09650201964
586	0.09605211732
587	0.09549947959
588	0.09505922578
589	0.09451836212
590	0.09397080495
591	0.09343465519
592	0.09296089439
593	0.09243802801
594	0.09201342256
595	0.09155452838
596	0.09109515057
597	0.09058893024
598	0.09001630552
599	0.08951962264
600	0.0890735975
601	0.08850889661
602	0.08802946516
603	0.08748406954
604	0.08702011183
605	0.08659243727
606	0.08619802681
607	0.08567628648
608	0.08533588731
609	0.08489138466
610	0.08431333072
611	0.08390298107
612	0.08355235327
613	0.08305814771
614	0.08273068036
615	0.0821784631
616	0.08180527005
617	0.08131273579
618	0.08099332533
619	0.0806037255
620	0.08023861119
621	0.07984535285
622	0.07953792709
623	0.07917908882
624	0.0787071171
625	0.07835509088
626	0.07805625456
627	0.07755907689
628	0.0772124196
629	0.07675887098
630	0.07646380702
631	0.07612811938
632	0.07584085122
633	0.07551121129
634	0.07503151502
635	0.07456173144
636	0.07424233622
637	0.07396228058
638	0.07364851608
639	0.07329724721
640	0.07283385051
641	0.07253628931
642	0.07226197215
643	0.07180500916
644	0.07150648321
645	0.07105984869
646	0.0707398218
647	0.07027115851
648	0.06994012594
649	0.06967807364
650	0.06924825525
651	0.06882736686
652	0.06839049237
653	0.06787739973
654	0.06755882679
655	0.06730428228
656	0.06690120282
657	0.06659026186
658	0.06634141343
659	0.06601052641
660	0.0655820091
661	0.06529070165
662	0.06504243309
663	0.06481783223
664	0.06457711593
665	0.06429019207
666	0.06403860645
667	0.06374172997
668	0.06334571804
669	0.06306679585
670	0.06285183553
671	0.0626410613
672	0.06240378136
673	0.06211570201
674	0.06173221352
675	0.06144994718
676	0.0610749643
677	0.06069258663
678	0.06042645982
679	0.06005124497
680	0.05978506926
681	0.05951559518
682	0.05929740619
683	0.05903570596
684	0.05867269492
685	0.05848046404
686	0.05826226805
687	0.05799617472
688	0.05778724219
689	0.05745184464
690	0.05713906286
691	0.05679149226
692	0.05648804068
693	0.05614403405
694	0.05580517508
695	0.05556046131
696	0.05527298954
697	0.05502593141
698	0.05478944519
699	0.0545786887
700	0.05437299439
701	0.053973664
702	0.05374718513
703	0.05359637351
704	0.0533215389
705	0.05308424211
706	0.05285236968
707	0.0524347734
708	0.05223596073
709	0.05198721032
710	0.05161386316
711	0.05135261755
712	0.05119018763
713	0.05097893451
714	0.05078654316
715	0.0506280404
716	0.05021962697
717	0.04995896539
718	0.04980439114
719	0.049415689
720	0.049166095
721	0.04901549113
722	0.0486391193
723	0.04838828625
724	0.04824128586
725	0.04787679473
726	0.04763110469
727	0.04742711964
728	0.0472328457
729	0.04703400319
730	0.04668385125
731	0.04651016218
732	0.04633068377
733	0.04616575606
734	0.04582853926
735	0.04570072501
736	0.04552780775
737	0.04536636793
738	0.04513859287
739	0.04500284383
740	0.044711744
741	0.04458100625
742	0.04442464065
743	0.04419800457
744	0.04406599077
745	0.04375157411
746	0.04352952857
747	0.04337785358
748	0.04307327383
749	0.04285566431
750	0.04270756921
751	0.04249760157
752	0.04237232614
753	0.04210453442
754	0.04199125974
755	0.04184789049
756	0.04163847577
757	0.04151674649
758	0.04123114522
759	0.04102594431
760	0.04088690244
761	0.04061027048
762	0.04041306923
763	0.04027737258
764	0.04007917078
765	0.03996367714
766	0.03971696267
767	0.03952267102
768	0.03940961298
769	0.03914823389
770	0.03884878083
771	0.03872042054
772	0.03859431214
773	0.03836159813
774	0.03807045052
775	0.03801533621
776	0.03796106458
777	0.03790762029
778	0.03770677838
779	0.03755364446
780	0.03741675184
781	0.03736412834
782	0.03731229785
783	0.03709930611
784	0.03704805787
785	0.03690079617
786	0.03676796019
787	0.03671744709
788	0.03666768597
789	0.03650923104
790	0.03630236407
791	0.03620842362
792	0.03610941595
793	0.03606017023
794	0.03595942177
795	0.03583318696
796	0.03573667978
797	0.03568818637
798	0.03559704967
799	0.03554923953
800	0.0354098657
801	0.03519077512
802	0.03499281237
803	0.03494538008
804	0.03479717096
805	0.03475026534
806	0.03470405223
807	0.0346585203
808	0.0345246026
809	0.03440591435
810	0.03419478926
811	0.03400385351
812	0.03395856606
813	0.03375316386
814	0.03357387928
815	0.03352906427
816	0.03348491029
817	0.03337930916
818	0.03327733871
819	0.0331788624
820	0.03308374875
821	0.03286582821
822	0.03271609614
823	0.03258464524
824	0.03245476436
825	0.03223657477
826	0.03216742063
827	0.03210465251
828	0.03195954262
829	0.03189306976
830	0.03183268133
831	0.03169010955
832	0.0316310344
833	0.03156809093
834	0.03142799278
835	0.03137113566
836	0.03130148329
837	0.03124593336
838	0.03110878837
839	0.03100203333
840	0.03088098745
841	0.03077797597
842	0.03071843045
843	0.03061762592
844	0.03050058019
845	0.03044273804
846	0.03034482295
847	0.03023297947
848	0.03017665447
849	0.03008205678
850	0.0299718691
851	0.02977285228
852	0.02963789853
853	0.02959179406
854	0.02945914089
855	0.02935365102
856	0.0291621262
857	0.02897550703
858	0.02884728381
859	0.02879692348
860	0.02867384545
861	0.02849352186
862	0.02837320764
863	0.02819798644
864	0.02802729259
865	0.02791011052
866	0.0277666808
867	0.02760049306
868	0.0274922423
869	0.02731431758
870	0.02720803177
871	0.0271725872
872	0.02706779331
873	0.02693190155
874	0.02688271198
875	0.02677583358
876	0.02667347193
877	0.02662532165
878	0.0265210499
879	0.02647430341
880	0.02634869155
881	0.02630277553
882	0.02617575223
883	0.02612310908
884	0.02596926895
885	0.0258487945
886	0.02570608407
887	0.02558265898
888	0.02541778613
889	0.02537413783
890	0.02527661678
891	0.02523364683
892	0.02513162928
893	0.0250310295
894	0.02493189022
895	0.02485865183
896	0.02476105887
897	0.0246895993
898	0.02459352293
899	0.02452379293
900	0.02442920427
901	0.02438623714
902	0.02429284271
903	0.0242248969
904	0.02413294231
905	0.02410989834
906	0.02401917938
907	0.02392367414
908	0.02382996178
909	0.0237380054
910	0.02364776893
911	0.02355921714
912	0.02346538123
913	0.02337304153
914	0.02328217409
915	0.02319845647
916	0.02311301816
917	0.02302918321
918	0.02294691815
919	0.02286619032
920	0.02278696784
921	0.02270921961
922	0.02263291525
923	0.02255802511
924	0.02248452025
925	0.02241404891
926	0.02234190981
927	0.02223458439
928	0.02212896287
929	0.02202501891
930	0.0219227266
931	0.02180692637
932	0.02170663275
933	0.02165371196
934	0.02154017205
935	0.02148785487
936	0.02137616814
937	0.02132444473
938	0.02121458009
939	0.02116344091
940	0.02105536779
941	0.02100480363
942	0.02089849195
943	0.02084849385
944	0.02072729628
945	0.0206779134
946	0.02057497963
947	0.02052614341
948	0.02042488566
949	0.020376588
950	0.02026112046
951	0.02019651308
952	0.02014918853
953	0.02005116228
954	0.02000435534
955	0.01990792302
956	0.01986162639
957	0.01976152468
958	0.01971242701
959	0.01960426754
960	0.01954341936
961	0.01945184084
962	0.01940520091
963	0.01931014501
964	0.01923871901
965	0.01916362552
966	0.01911852124
967	0.01907258967
968	0.01898424395
969	0.01892916453
970	0.0188848308
971	0.01884161512
972	0.01878886727
973	0.01866678662
974	0.01854744477
975	0.01847923203
976	0.01836286036
977	0.01829657208
978	0.018183061
979	0.01807210093
980	0.01797445446
981	0.01786934974
982	0.0177488987
983	0.01765136014
984	0.01755669357
985	0.01745097644
986	0.01733464308
987	0.01724384206
988	0.01715571746
989	0.01712018256
990	0.01708522468
991	0.01699942015
992	0.01696489053
993	0.01688147796
994	0.0168473702
995	0.01681381386
996	0.01673393671
997	0.01665325239
998	0.01662034286
999	0.01654189952
