,BE103_avg,BE101-05_avg,BE110_avg,CS110_avg,EE100_avg,EE110_avg,MA101_avg,PH100_avg,PH110_avg,BE100_avg,BE102_avg,CS100_avg,CS120_avg,CY100_avg,CY110_avg,EC100_avg,EC110_avg,MA102_avg,CS201_avg,CS203_avg,CS205_avg,CS207_avg,CS231_avg,CS233_avg,HS210_avg,MA201_avg,SGPA_S1,SGPA_S2
30,77.5,72.5,91.5,70,62.5,33,70.0,87.5,70,47.5,68.0,62.5,47,55.0,43,50.0,37,80.0,45.0,35.0,55.0,50.0,50,87,67.5,70.0,7.28,0.0
31,72.5,57.5,92.5,20,67.5,53,90.0,100.0,83,37.5,62.0,40.0,37,52.5,60,40.0,40,85.0,70.0,55.0,65.0,30.0,47,90,32.5,92.5,0.0,0.0
32,82.5,77.5,79.0,70,80.0,53,95.0,90.0,73,52.5,76.0,65.0,47,80.0,60,70.0,53,92.5,57.5,62.5,65.0,55.0,60,80,60.0,97.5,7.93,8.08
33,72.5,52.5,73.0,40,77.5,50,97.5,72.5,80,60.0,68.0,47.5,37,60.0,37,47.5,37,90.0,65.0,35.0,62.5,72.5,53,47,72.5,77.5,8.09,7.17
34,77.5,65.0,86.5,60,87.5,73,100.0,92.5,87,52.5,68.0,55.0,53,90.0,63,65.0,53,95.0,75.0,77.5,77.5,72.5,60,63,70.0,97.5,8.09,7.92
35,40.0,32.5,83.0,27,45.0,47,47.5,55.0,43,40.0,48.0,45.0,33,50.0,47,30.0,13,67.5,47.5,32.5,60.0,42.5,43,37,47.5,57.5,0.0,0.0
36,80.0,87.5,94.0,50,82.5,60,100.0,95.0,90,75.0,82.0,87.5,50,92.5,83,65.0,70,100.0,75.0,62.5,65.0,67.5,63,90,82.5,80.0,8.2,8.23
37,70.0,47.5,94.0,53,27.5,50,75.0,87.5,83,52.5,68.0,82.5,47,57.5,50,47.5,37,45.0,52.5,37.5,50.0,50.0,40,50,57.5,50.0,0.0,0.0
38,60.0,82.5,86.5,80,55.0,57,65.0,87.5,90,62.5,64.0,60.0,30,45.0,37,47.5,73,40.0,50.0,55.0,67.5,70.0,97,93,55.0,47.5,7.3,7.06
39,65.0,72.5,91.5,77,90.0,50,100.0,97.5,93,80.0,62.0,87.5,73,77.5,60,55.0,63,100.0,97.5,47.5,65.0,77.5,57,97,75.0,95.0,8.72,8.54
40,57.5,42.5,52.5,37,65.0,47,82.5,82.5,63,40.0,52.0,32.5,40,72.5,43,30.0,27,72.5,45.0,22.5,47.5,17.5,37,47,62.5,60.0,6.96,0.0
41,77.5,90.0,82.5,70,85.0,50,57.5,92.5,80,75.0,70.0,75.0,57,82.5,57,67.5,53,90.0,65.0,72.5,75.0,75.0,60,87,77.5,72.5,7.22,0.0
42,82.5,92.5,81.5,70,97.5,57,100.0,97.5,80,82.5,78.0,92.5,93,95.0,70,75.0,63,100.0,100.0,75.0,87.5,95.0,97,93,82.5,100.0,8.65,9.02
43,65.0,52.5,77.5,40,62.5,33,60.0,80.0,67,45.0,54.0,52.5,40,62.5,63,42.5,23,82.5,55.0,40.0,67.5,45.0,43,33,55.0,45.0,0.0,0.0
44,55.0,45.0,45.0,27,37.5,53,47.5,57.5,63,37.5,64.0,32.5,33,35.0,33,30.0,40,37.5,37.5,20.0,32.5,32.5,20,20,47.5,35.0,0.0,0.0
45,60.0,87.5,88.0,53,75.0,60,72.5,77.5,77,62.5,72.0,62.5,90,67.5,40,52.5,63,97.5,85.0,57.5,70.0,47.5,70,87,62.5,97.5,0.0,0.0
46,75.0,80.0,80.5,53,75.0,40,92.5,97.5,87,55.0,74.0,67.5,60,97.5,50,70.0,57,100.0,67.5,42.5,82.5,67.5,46,60,82.5,95.0,8.37,8.56
47,70.0,67.5,58.5,63,87.5,70,82.5,97.5,97,65.0,76.0,77.5,57,95.0,77,80.0,47,100.0,65.0,60.0,82.5,77.5,60,73,82.5,100.0,7.89,8.52
48,57.5,72.5,93.0,47,80.0,57,80.0,85.0,73,60.0,72.0,70.0,90,52.5,63,40.0,47,80.0,67.5,40.0,60.0,37.5,50,43,67.5,45.0,7.85,7.35
